인증구분,건물구분,건물용도,지역,연면적,인증등급
예비인증,주거용 이외,국방·군사시설,경남,1076.59,5.0
예비인증,주거용 이외,공장,경북,1785.07,3.0
예비인증,주거용 이외,국방·군사시설,충남,793.2,5.0
예비인증,주거용 이외,공장,세종,32549.47,2.0
예비인증,주거용 이외,업무시설,서울,137511.8606,5.0
예비인증,주거용 이외,업무시설,전북,2210.76,4.0
예비인증,주거용 이외,제1종 근린생활시설,전남,637.56,4.0
예비인증,주거용 이외,운동시설,경북,1130.28,4.0
예비인증,주거용 이외,국방·군사시설,전남,3783.24,5.0
예비인증,주거용 이외,국방·군사시설,전남,2587.59,4.0
예비인증,주거용 이외,공장,부산,47790.81,5.0
예비인증,주거용 이외,노유자시설,부산,1827.47,4.0
예비인증,주거용 이외,노유자시설,강원,947.66,4.0
예비인증,주거용 이외,교육연구시설,경남,2486.25,4.0
예비인증,주거용 이외,교육연구시설,경북,2180.27,3.0
예비인증,주거용 이외,업무시설,전남,1396.32,4.0
예비인증,주거용 이외,교육연구시설,인천,1707.83,3.0
예비인증,주거용,"임대주택(영구, 국민, 공공)",전남,2661.3351,3.0
예비인증,주거용 이외,국방·군사시설,강원,1075.2,5.0
예비인증,주거용 이외,교육연구시설,제주,1640.81,3.0
예비인증,주거용 이외,교육연구시설,경남,5936.77,3.0
예비인증,주거용 이외,국방·군사시설,경기,3415.04,4.0
예비인증,주거용 이외,운동시설,울산,1979.43,4.0
예비인증,주거용 이외,제1종 근린생활시설,경북,1847.16,5.0
예비인증,주거용 이외,제1종 근린생활시설,경북,775.3,5.0
예비인증,주거용 이외,국방·군사시설,전남,3478.2,4.0
예비인증,주거용 이외,업무시설,경기,12533.16,4.0
예비인증,주거용 이외,제1종 근린생활시설,대구,4702.81,5.0
예비인증,주거용 이외,업무시설,서울,2400.02,4.0
예비인증,주거용,공동주택,경기,87591.17,5.0
예비인증,주거용 이외,교육연구시설,경기,14473.22,3.0
예비인증,주거용 이외,제1종 근린생활시설,경기,1995.42,5.0
예비인증,주거용 이외,교육연구시설,인천,922.75,3.0
예비인증,주거용 이외,교육연구시설,전남,588.79,5.0
예비인증,주거용 이외,자원순환 관련 시설,충북,745.12,5.0
예비인증,주거용 이외,교육연구시설,경기,11527.11,4.0
예비인증,주거용 이외,국방·군사시설,인천,4056.14,4.0
예비인증,주거용 이외,제1종 근린생활시설,강원,628.75,5.0
예비인증,주거용 이외,제1종 근린생활시설,경남,650.86,5.0
예비인증,주거용 이외,제2종 근린생활시설,경남,821.3,4.0
예비인증,주거용 이외,업무시설,울산,2198.285,4.0
예비인증,주거용,공동주택,경남,2831.97,5.0
예비인증,주거용 이외,숙박시설,울산,884.34,5.0
예비인증,주거용 이외,제1종 근린생활시설,경남,970.18,5.0
예비인증,주거용 이외,업무시설,경남,4868.02,4.0
